"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez_id","entrez","go","path"
"ENSG00000164284",551.987065774433,-0.698785057771604,0.112226823324994,-6.22654225672961,4.76841656226553e-10,1.8536290532334e-09,"GRPEL2","134266","GrpE like 2, mitochondrial","GO:0000774",NA
"ENSG00000132383",2752.20648544534,-0.566634419577321,0.0910089690782142,-6.22613820721723,4.78072377681199e-10,1.85806013404312e-09,"RPA1","6117","replication protein A1","GO:0000228","03030"
"ENSG00000148297",1264.77488574223,-0.742192363398182,0.119225095721082,-6.2251353954413,4.81140320071392e-10,1.86962865635644e-09,"MED22","6837","mediator complex subunit 22","GO:0003712",NA
"ENSG00000245680",137.546099324489,-1.33572447496119,0.214593472474455,-6.22444131016238,4.83275006529121e-10,1.87756700067487e-09,"ZNF585B","92285","zinc finger protein 585B","GO:0005634",NA
"ENSG00000104886",716.278540056583,-0.716662398250996,0.115140403564059,-6.22424775376334,4.83871943215519e-10,1.87952916795926e-09,"PLEKHJ1","55111","pleckstrin homology domain containing J1","GO:0001881",NA
"ENSG00000140396",1658.27096314645,0.544162952847882,0.0874366971101505,6.22350764419154,4.86161118250504e-10,1.88806259233227e-09,"NCOA2","10499","nuclear receptor coactivator 2","GO:0000122",NA
"ENSG00000188647",2799.66917327539,0.667568854104637,0.107302098766067,6.22139605638118,4.92750556872338e-10,1.91329017479568e-09,"PTAR1","375743","protein prenyltransferase alpha subunit repeat containing 1","GO:0004659",NA
"ENSG00000163630",284.428415781543,1.88068925649395,0.302449504173293,6.21819255956319,5.02914159318298e-10,1.95238358869914e-09,"SYNPR","132204","synaptoporin","GO:0005515",NA
"ENSG00000106804",255.075125387345,1.48073887707254,0.238184156812662,6.21678157307993,5.07455371566483e-10,1.96963939760767e-09,"C5","727","complement C5","GO:0001664","04610"
"ENSG00000184408",101.105560453697,-1.57793279340439,0.253859630179538,-6.21576889672623,5.10739278579495e-10,1.98200947511735e-09,"KCND2","3751","potassium voltage-gated channel subfamily D member 2","GO:0001508",NA
"ENSG00000259570",38.6648162333643,2.67646562827696,0.430640711024416,6.21507804478154,5.12991463974972e-10,1.99037185045676e-09,NA,NA,NA,NA,NA
"ENSG00000257354",217.03417726153,1.1213977266968,0.180432964506417,6.21503797692645,5.13122382586213e-10,1.99050224460478e-09,"MIRLET7IHG","120766144","MIRLET7I host gene",NA,NA
"ENSG00000129038",508.77963458359,1.10531346699168,0.177856181367066,6.21464746682318,5.14400052778534e-10,1.99508021986821e-09,"LOXL1","4016","lysyl oxidase like 1","GO:0001669",NA
"ENSG00000169064",47.6147315117086,2.56390491318859,0.412628985832816,6.21358411846375,5.17894871384822e-10,2.00825395150266e-09,"ZBBX","79740","zinc finger B-box domain containing","GO:0008270",NA
"ENSG00000151650",98.9575957501453,-5.09911297153928,0.820660728614017,-6.21342388364431,5.18423506748097e-10,2.00992282610545e-09,"VENTX","27287","VENT homeobox","GO:0000785",NA
"ENSG00000177189",1515.93506885658,-0.591871481695834,0.0952982119214011,-6.2107301885579,5.27389592293916e-10,2.04429678043814e-09,"RPS6KA3","6197","ribosomal protein S6 kinase A3","GO:0000166","04010"
"ENSG00000126653",832.588072383061,-0.659998231035042,0.106270839723501,-6.21052993231489,5.28062164472744e-10,2.04651602392762e-09,"NSRP1","84081","nuclear speckle splicing regulatory protein 1","GO:0000381",NA
"ENSG00000071539",472.081475432243,-0.757407226187365,0.121959169879737,-6.2103343843209,5.28719731427002e-10,2.04867628458786e-09,"TRIP13","9319","thyroid hormone receptor interactor 13","GO:0000166",NA
"ENSG00000136811",1616.96756012386,0.606569776418627,0.0976814266624523,6.20967360063943,5.30947658572916e-10,2.0569193856267e-09,"ODF2","4957","outer dense fiber of sperm tails 2","GO:0000922",NA
"ENSG00000173914",708.473657778724,0.721000645753656,0.116130927459076,6.20851535012264,5.3487499001476e-10,2.07174170057791e-09,"RBM4B","83759","RNA binding motif protein 4B","GO:0000381",NA
"ENSG00000113460",388.749712510328,-0.825480751533462,0.13296526872998,-6.20824339632488,5.3580121722296e-10,2.07493636847703e-09,"BRIX1","55299","biogenesis of ribosomes BRX1","GO:0000027",NA
"ENSG00000290357",22.1106635643124,-4.20325152390473,0.677221782472377,-6.20661005403525,5.41397114957855e-10,2.09621010533086e-09,NA,NA,NA,NA,NA
"ENSG00000135740",239.443320478239,1.24381216567838,0.200411214525314,6.20630022438827,5.42465020484504e-10,2.09994738720865e-09,"SLC9A5","6553","solute carrier family 9 member A5","GO:0005515",NA
"ENSG00000169957",637.333878845641,0.826700497777283,0.133236108236835,6.20477818451266,5.47741035888189e-10,2.11997027229762e-09,"ZNF768","79724","zinc finger protein 768","GO:0000977",NA
"ENSG00000273521",62.272461162648,2.07702385517188,0.334811311803363,6.20356535740864,5.51981010088211e-10,2.13597645882602e-09,NA,NA,NA,NA,NA
"ENSG00000100053",170.687289636484,4.27723681627138,0.689562154907808,6.20282999266865,5.54567381704114e-10,2.14557892807975e-09,"CRYBB3","1417","crystallin beta B3","GO:0002088",NA
"ENSG00000111726",843.096150431923,-0.669008607464272,0.107864920550111,-6.20228155782556,5.56503991824392e-10,2.15266436323145e-09,"CMAS","55907","cytidine monophosphate N-acetylneuraminic acid synthetase","GO:0005634","00520"
